Program Version:,EnergyPlus, Version 25.1.0-68a4a7c774, YMD=2026.05.28 14:47
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ4C+hp+slab+IECC_2024
Environment:,ANNUAL ** Brussels.Natl.AP BRU BEL SRC-TMYx WMO#=064510

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       144.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,1015.43,0.26,0.43
,Net Site Energy,1015.43,0.26,0.43
,Total Source Energy,3215.86,0.81,1.35
,Net Source Energy,3215.86,0.81,1.35


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,3965.68
,Net Conditioned Building Area,2377.10
,Unconditioned Building Area,1588.59


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating Water [kBtu],District Heating Steam [kBtu],Water [gal]
,Heating,347.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,58.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,11.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,425.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,78.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,94.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242.81
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,1015.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242.81
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating Water [kBtu],District Heating Steam [kBtu],Water [gal]
,5,5,-0.50723082,0.86755853E-04,-2.3929881,0.33748112E-01
,6,4,2.5226851,0.50110213E-03,13.368157,-0.28468677
,7,3,-6.9407176,0.79858665E-03,-38.323334,1.2085827
,8,2,10.504051,0.31741499E-03,57.504377,-2.5817303
,9,1,-8.1362281,0.20731142E-04,-42.892930,2.6198363
,10,0,2.5074132,0.34647197E-07,12.539151,
,11,7,-0.19879948E-01,0.18371110E-08,-0.19879948E-01,0.25920384E-02
,12,6,0.37833182,0.93111392E-06,0.37833182,-0.50805208E-01
,13,5,-2.8822885,0.33090332E-04,-2.8822885,0.40100636
,14,4,11.391948,0.23980383E-03,11.391948,-1.6521297
,15,3,-25.286828,0.46344169E-03,-25.286828,3.8446603
,16,2,31.657742,0.23933549E-03,31.657742,-5.0707043
,17,1,-20.807361,0.25331892E-04,-20.807361,3.5241279
,18,0,5.5693388,0.18852057E-06,5.5693388,
,19,3,-0.21260425E-07,0.49822955E-08,-0.13883007E-07,0.11425730E-18
,20,2,0.11625382,0.10663279E-01,0.24913590E-01,-0.65967067E-07
,21,1,-5.6903370,0.76350664,-0.70509535,0.99684103E-01
,22,0,7.1067848,0.75853168,2.2128834,
,23,8,0.57138424E-17,0.19553481E-15,0.70652162E-10,-0.60880897E-17
,24,7,-0.14004659E-09,0.34211916E-12,-0.64133583E-02,0.13112437E-09
,25,6,0.33031717E-02,0.35831018E-07,0.40330727,-0.30927304E-02
,26,5,-0.67144113E-01,0.59538252E-05,-4.4412715,0.64124593E-01
,27,4,0.48736610,0.10286418E-03,20.929295,-0.47986173
,28,3,-1.6744663,0.36628588E-03,-50.972144,1.7162091
,29,2,2.9251807,0.30524382E-03,67.033826,-3.1493483
,30,1,-2.4975329,0.48513822E-04,-45.141313,2.8465249
,31,0,0.82412283,0.52435926E-06,12.195543,
,32,8,0.70652162E-10,0.19553481E-15,0.57138424E-17,-0.60880897E-17
,33,7,-0.64133583E-02,0.34211916E-12,-0.14004659E-09,0.13112437E-09
,34,6,0.40330727,0.35831018E-07,0.33031717E-02,-0.30927304E-02
,35,5,-4.4412715,0.59538252E-05,-0.67144113E-01,0.64124593E-01
,36,4,20.929295,0.10286418E-03,0.48736610,-0.47986173
,37,3,-50.972144,0.36628588E-03,-1.6744663,1.7162091
,38,2,67.033826,0.30524382E-03,2.9251807,-3.1493483
,39,1,-45.141313,0.48513822E-04,-2.4975329,2.8465249
,40,0,12.195543,0.52435926E-06,0.82412283,
,41,3,-0.29555732E-05,0.78471574E-06,-0.19777024E-05,0.68642310E-15
,42,2,0.15293306,0.50483293E-01,0.12822326,-0.22743176E-05
,43,1,-7.5337740,2.6090217,-5.6395049,0.62817357E-01
,44,0,12.401978,2.3616279,10.532417,
,45,5,-0.40256552E-08,0.15083295E-08,-0.40256552E-08,0.13163874E-10
,46,4,0.55451972E-04,0.21880059E-04,0.55451972E-04,-0.42256835E-06
,47,3,-0.31254854E-01,0.86449777E-02,-0.31254854E-01,0.67291008E-03
,48,2,1.1794315,0.20302128,1.1794315,-0.58592963E-01
,49,1,-5.8567913,0.43777460,-5.8567913,0.60730330
,50,0,5.4250441,0.67022174E-01,5.4250441,
,51,5,-0.52254053E-08,0.11833494E-09,-0.19746461E-08,0.20376637E-17
,52,4,0.13198703E-02,0.28796027E-04,0.41856668E-03,-0.11610988E-08
,53,3,-0.25208402,0.19322245E-01,-0.85493636E-01,0.23906158E-03
,54,2,7.8533107,0.48110426,2.9016275,-0.20267960E-01
,55,1,-41.398393,0.98160798,-13.501343,0.36527180
,56,0,35.387695,0.10978549,12.276639,
,57,9,-0.36636575E-07,0.15068908E-13,-0.22549215E-07,0.15325053E-12
,58,8,0.87245177E-04,0.27732189E-10,0.59171433E-04,-0.17245386E-07
,59,7,-0.76712678E-02,0.32836698E-07,-0.28958691E-02,0.40343077E-04
,60,6,0.20687904,0.38495894E-05,0.54592497E-01,-0.19000017E-02
,61,5,-2.3929881,0.86755853E-04,-0.50723082,0.33748112E-01
,62,4,13.368157,0.50110213E-03,2.5226851,-0.28468677
,63,3,-38.323334,0.79858665E-03,-6.9407176,1.2085827
,64,2,57.504377,0.31741499E-03,10.504051,-2.5817303
,65,1,-42.892930,0.20731142E-04,-8.1362281,2.6198363
,66,0,12.539151,0.34647197E-07,2.5074132,


WindowConstruction

,,Construction Name,Index,#Layers,Roughness,Conductance {Btu/h-ft2-F},Conductance (Before Adjusted) {Btu/h-ft2-F},Convection Coefficient Adjustment Ratio,SHGC,Solar Transmittance at Normal Incidence,Visible Transmittance at Normal Incidence
,1,EXTERIOR WINDOW,12,1,VerySmooth,0.280,0.280,1.000,0.335,0.248,0.882
,2,INTERIOR WINDOW,13,1,VerySmooth,0.280,0.280,1.000,0.335,0.248,0.882
,3,WINDOW_W_BLINDS,18,2,VerySmooth,0.280,0.280,1.000,0.309,4.642E-002,0.133
,4,TDD DOME,22,1,VerySmooth,1.071,1.071,1.000,0.929,0.920,0.920
,5,TDD DIFFUSER,23,1,VerySmooth,1.077,1.077,1.000,0.906,0.900,0.900


WindowMaterial:Glazing

,,Material Name,Optical Data Type,Spectral Data Set Name,Thickness {ft},Solar Transmittance,Front Solar Reflectance,Back Solar Reflectance,Visible Transmittance,Front Visible Reflectance,Back Visible Reflectance,Infrared Transmittance,Front Thermal Emissivity,Back Thermal Emissivity,Conductivity {W/m-K},Dirt Factor,Solar Diffusing
,1,GLASS,SpectralAverage,,0.14246,0.24698,0.55318,0.55318,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,9.56013E-002,1.00000,No
,2,GLASS,SpectralAverage,,0.14246,0.24698,0.55318,0.55318,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,9.56013E-002,1.00000,No
,3,GLASS,SpectralAverage,,0.14246,0.24698,0.55318,0.55318,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,9.56013E-002,1.00000,No
,4,CLEAR ACRYLIC PLASTIC,SpectralAverage,,0.00984,0.92000,5.00000E-002,5.00000E-002,0.92000,5.00000E-002,5.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No
,5,DIFFUSING ACRYLIC PLASTIC,SpectralAverage,,0.00722,0.90000,8.00000E-002,8.00000E-002,0.90000,8.00000E-002,8.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No


WindowMaterial:Blind

,,Material Name,Slat Width {ft},Slat Separation {ft},Slat Thickness {ft},Slat Angle {deg},Slat Beam Solar Transmittance,Slat Beam Solar Front Reflectance,Blind To Glass Distance {ft}
,1,INT_BLIND,0.0820,0.0615,0.0033,45.000,0.000,0.500,0.164


Heat Pump Water Heater Information

,,Type,Name,Volume {ft3},Maximum Capacity {Btu/h},Standard Rated Recovery Efficiency,Standard Rated Energy Factor,DX Coil Total Cooling Rate {ton}
,1,WaterHeater:HeatPump:WrappedCondenser,WATER HEATER_UNIT1,10.6948,4508.6,0.000,0.0000,0.


Water Heater Stratified Node Information

,,Node Number,Height {ft},Volume {ft3},Maximum Capacity {Btu/h},Off-Cycle UA {Btu/h-F},On-Cycle UA {Btu/h-F},Number Of Inlets,Number Of Outlets
,1,1,0.4357,0.8913,0.000,0.1742,0.1742,0,1
,2,2,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,3,3,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,4,4,0.4357,0.8913,15354.000,0.0905,0.0905,0,0
,5,5,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,6,6,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,7,7,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,8,8,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,9,9,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,10,10,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,11,11,0.4357,0.8913,0.000,0.0905,0.0905,0,0
,12,12,0.4357,0.8913,0.000,0.1742,0.1742,1,0


ZoneVentilation Airflow Stats Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Design Volume Flow Rate {ft3/min},Volume Flow Rate/Floor Area {ft3/min-ft2},Volume Flow Rate/person Area {ft3/min-person},ACH - Air Changes per Hour,Fan Type {Exhaust;Intake;Natural},Fan Pressure Rise {psi},Fan Efficiency {},Equation A - Constant Term Coefficient {},Equation B - Temperature Term Coefficient {1/C},Equation C - Velocity Term Coefficient {s/m},Equation D - Velocity Squared Term Coefficient {s2/m2},Minimum Indoor Temperature{F}/Schedule,Maximum Indoor Temperature{F}/Schedule,Delta Temperature{F}/Schedule,Minimum Outdoor Temperature{F}/Schedule,Maximum Outdoor Temperature{F}/Schedule,Maximum WindSpeed{ft/min}
,1,VENTILATION_UNIT1,ALWAYS_AVAIL,LIVING_UNIT1,2377.12,3.0,0.000,0.000,0.000,0.000,Exhaust,0.000,0.6,1.000,0.000,0.000,0.000,-148.0,212.00,-148.0,-148.0,212.00,7874.40


AirFlow Model

,,Simple
,1,Simple


RoomAir Model

,,Zone Name,Mixing/Mundt/UCSDDV/UCSDCV/UCSDUFI/UCSDUFE/User Defined
,1,LIVING_UNIT1,Mixing/Well-Stirred
,2,GARAGE1,Mixing/Well-Stirred
,3,ATTIC_UNIT1,Mixing/Well-Stirred


AirflowNetwork Model:Control

,,No Multizone or Distribution/Multizone with Distribution/Multizone without Distribution/Multizone with Distribution only during Fan Operation
,1,MultizoneWithDistribution


AirflowNetwork Model:Equivalent Rectangle Surface

,,Name,Equivalent Height {ft},Equivalent Width {ft} AirflowNetwork Model:Equivalent Rectangle
,1,ROOF_RIGHT_UNIT1,4.95,14.93
,2,ROOF_LEFT_UNIT1,4.95,14.93
,3,ROOF_RIGHT_GARAGE1,3.31,10.01
,4,ROOF_LEFT_GARAGE1,3.31,10.01


AirflowNetwork Model:Wind Direction

,,Wind Direction #1 to n (degree)
,1,0.0


AirflowNetwork Model:Wind Pressure Coefficients

,,Name,Wind Pressure Coefficients #1 to n (dimensionless)
,1,!WPCTABLE1,0.60
,2,!WPCTABLE2,-0.36
,3,!WPCTABLE3,-0.51
,4,!WPCTABLE4,-0.36
,5,!WPCTABLE5,-0.73


Zone Volume Capacitance Multiplier

,,Sensible Heat Capacity Multiplier,Moisture Capacity Multiplier,Carbon Dioxide Capacity Multiplier,Generic Contaminant Capacity Multiplier
,1,1.000,1.000,1.000,1.000


Load Timesteps in Zone Design Calculation Averaging Window

,,Value
,1,4


Heating Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Cooling Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Zone Sizing Information

,,Zone Name,Load Type,Calc Des Load {Btu/h},User Des Load {Btu/h},Calc Des Air Flow Rate {ft3/min},User Des Air Flow Rate {ft3/min},Design Day Name,Date/Time of Peak,Temperature at Peak {F},Humidity Ratio at Peak {lbWater/lbDryAir},Floor Area {ft2},# Occupants,Calc Outdoor Air Flow Rate {ft3/min},Calc DOAS Heat Addition Rate {Btu/h}
,1,LIVING_UNIT1,Cooling,13377.55737,13377.55737,567.98722,567.98722,BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB,7/27 18:00:00,80.65760,0.01142,2377.09544,3.00000,59.99321,0.00000
,2,LIVING_UNIT1,Heating,11786.51356,11786.51356,490.84740,490.84740,BRUSSELS ANNUAL HEATING 99.6% CONDNS DB,1/15 13:45:00,19.76000,0.00156,2377.09544,3.00000,59.99321,0.00000


System Sizing Information

,,System Name,Load Type,Peak Load Kind,User Design Capacity [Btu/h],Calc Des Air Flow Rate [ft3/min],User Des Air Flow Rate [ft3/min],Design Day Name,Date/Time of Peak
,1,CENTRAL SYSTEM_UNIT1,Cooling,Sensible,13546.97,567.98722,567.98722,BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB,7/27 17:30:00
,2,CENTRAL SYSTEM_UNIT1,Heating,Sensible,14727.25,490.84740,490.84740,BRUSSELS ANNUAL HEATING 99.6% CONDNS DB,1/15 13:45:00


Component Sizing Information

,,Component Type,Component Name,Input Field Description,Value
,1,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Supply Air Flow Rate [ft3/min],59.99321
,2,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Exhaust Air Flow Rate [ft3/min],59.99321
,3,Fan:OnOff,OASUPPLYFAN_UNIT1,User-Specified Maximum Flow Rate [ft3/min],59.99321
,4,Fan:OnOff,OASUPPLYFAN_UNIT1,Design Electric Power Consumption [W],50.00000
,5,Fan:OnOff,OAEXHAUSTFAN_UNIT1,User-Specified Maximum Flow Rate [ft3/min],59.99321
,6,Fan:OnOff,OAEXHAUSTFAN_UNIT1,Design Electric Power Consumption [W],50.00000
,7,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1,User-Specified Nominal Supply Air Flow Rate [ft3/min],59.99321
,8,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1,Design Size Maximum Air Flow Rate [ft3/min],567.98722
,9,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],567.98722
,10,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],567.98722
,11,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Flow Rates [ft3/min],567.98722
,12,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Heating Design Air Flow Rate [ft3/min],567.98722
,13,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Cooling Design Air Flow Rate [ft3/min],567.98722
,14,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Main Design Air Flow Rate [ft3/min],567.98722
,15,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,User Heating Air Flow Ratio [],1.00000
,16,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Calculated Heating Air Flow Ratio [],1.00000
,17,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Design Supply Air Flow Rate [ft3/min],567.98722
,18,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Rated Air Flow Rate [ft3/min],567.98722
,19,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Gross Rated Total Cooling Capacity [ton],1.62247
,20,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Gross Rated Sensible Heat Ratio,0.75293
,21,AirLoopHVAC:UnitaryHeatPump:AirToAir,HEAT PUMP_UNIT1,Supply Air Flow Rate [ft3/min],567.98722
,22,AirLoopHVAC:UnitaryHeatPump:AirToAir,HEAT PUMP_UNIT1,Supply Air Flow Rate During Heating Operation [ft3/min],567.98722
,23,AirLoopHVAC:UnitaryHeatPump:AirToAir,HEAT PUMP_UNIT1,Supply Air Flow Rate During Cooling Operation [ft3/min],567.98722
,24,AirLoopHVAC:UnitaryHeatPump:AirToAir,HEAT PUMP_UNIT1,Nominal Heating Capacity [Btu/h],19469.67324
,25,AirLoopHVAC:UnitaryHeatPump:AirToAir,HEAT PUMP_UNIT1,Nominal Cooling Capacity [ton],1.62247
,26,AirLoopHVAC:UnitaryHeatPump:AirToAir,HEAT PUMP_UNIT1,Supplemental Heating Coil Nominal Capacity [Btu/h],14727.25743
,27,AirLoopHVAC:UnitaryHeatPump:AirToAir,HEAT PUMP_UNIT1,Fraction of Supply Air Flow That Goes Through the Controlling Zone,1.00000
,28,Fan:OnOff,SUPPLY FAN_UNIT1,Design Size Maximum Flow Rate [ft3/min],567.98722
,29,Fan:OnOff,SUPPLY FAN_UNIT1,Design Electric Power Consumption [W],214.24204
,30,Coil:Heating:DX:SingleSpeed,MAIN DX HEATING COIL_UNIT1,Design Size Rated Air Flow Rate [ft3/min],567.98722
,31,Coil:Heating:DX:SingleSpeed,MAIN DX HEATING COIL_UNIT1,Design Size Gross Rated Heating Capacity [Btu/h],22714.90266
,32,Coil:Heating:Electric,SUPP HEATING COIL_UNIT1,Design Size Nominal Capacity [Btu/h],18409.07181
,33,Fan:OnOff,HEAT PUMP WATER HEATER FAN_UNIT1,Design Size Maximum Flow Rate [ft3/min],160.01057
,34,Fan:OnOff,HEAT PUMP WATER HEATER FAN_UNIT1,Design Electric Power Consumption [W],10.78929
,35,WaterHeater:HeatPump:WrappedCondenser,WATER HEATER_UNIT1,Evaporator air flow rate [ft3/min],160.01057
,36,PlantLoop,DHW LOOP_UNIT1,Maximum Loop Flow Rate [ft3/min],1.04620
,37,PlantLoop,DHW LOOP_UNIT1,Plant Loop Volume [ft3],2.09294
,38,PlantLoop,DHW LOOP_UNIT1,Design Supply Temperature [F],120.00000
,39,PlantLoop,DHW LOOP_UNIT1,Design Return Temperature [F],109.99999
,40,PlantLoop,DHW LOOP_UNIT1,Sizing option (Coincident/NonCoincident),1.00000
,41,PlantLoop,DHW LOOP_UNIT1,Minimum Loop Flow Rate [ft3/min],0.00000
,42,PlantLoop,DHW LOOP_UNIT1,Design Capacity [Btu/h],39290.28535
,43,Pump:VariableSpeed,MAINS PRESSURE_UNIT1,Design Flow Rate [ft3/min],1.04620
,44,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1,Use Side Design Flow Rate [ft3/min],1.04620


DX Cooling Coil Standard Rating Information

,,Component Type,Component Name,Standard Rating (Net) Cooling Capacity {ton},Standard Rating Net COP {Btuh/Btuh},EER {Btu/W-h},SEER User {Btu/W-h},SEER Standard {Btu/W-h},IEER {Btu/W-h}
,1,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,1.6,3.58,12.23,12.81,12.12,12.2


DX Cooling Coil AHRI 2023 Standard Rating Information

,,Component Type,Component Name,Standard Rating (Net) Cooling Capacity {ton},Standard Rating Net COP2 {Btuh/Btuh},EER2 {Btu/W-h},SEER2 User {Btu/W-h},SEER2 Standard {Btu/W-h},IEER 2022 {Btu/W-h}
,1,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,1.6,3.46,11.80,12.34,12.01,11.5


DX Heating Coil Standard Rating Information

,,Component Type,Component Name,High Temperature Heating (net) Rating Capacity {Btu/h},Low Temperature Heating (net) Rating Capacity {Btu/h},HSPF {Btu/W-h},Region Number
,1,Coil:Heating:DX:SingleSpeed,MAIN DX HEATING COIL_UNIT1,23449.7,12903.5,8.30,4


DX Heating Coil AHRI 2023 Standard Rating Information

,,Component Type,Component Name,High Temperature Heating (net) Rating Capacity {Btu/h},Low Temperature Heating (net) Rating Capacity {Btu/h},HSPF2 {Btu/W-h},Region Number
,1,Coil:Heating:DX:SingleSpeed,MAIN DX HEATING COIL_UNIT1,23597.1,13050.9,7.36,4


Environment

,,Environment Name,Environment Type,Start Date,End Date,Start DayOfWeek,Duration {#days},Source:Start DayOfWeek,Use Daylight Saving,Use Holidays,Apply Weekend Holiday Rule,Use Rain Values,Use Snow Values,Sky Temperature Model
,1,BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB,SizingPeriod:DesignDay,07/27,07/27,SummerDesignDay,1,N/A,N/A,N/A,N/A,N/A,N/A,Clark and Allen
,2,BRUSSELS ANNUAL HEATING 99.6% CONDNS DB,SizingPeriod:DesignDay,01/15,01/15,WinterDesignDay,1,N/A,N/A,N/A,N/A,N/A,N/A,Clark and Allen
,3,ANNUAL,WeatherFileRunPeriod,12/19/2010,12/24/2010,Sunday,6,Use RunPeriod Specified Day,Yes,Yes,No,Yes,Yes,Clark and Allen


Environment:Daylight Saving

,,Daylight Saving Indicator,Source,Start Date,End Date
,1,No,SizingPeriod:DesignDay,,
,2,No,SizingPeriod:DesignDay,,
,3,No,,,


Environment:WarmupDays

,,NumberofWarmupDays
,1,10
,2,10
,3,10


Environment:Design Day Data

,,Max Dry-Bulb Temp {F},Temp Range {dC},Temp Range Ind Type,Hum Ind Type,Hum Ind Value at Max Temp,Hum Ind Units,Pressure {psi},Wind Direction {deg CW from N},Wind Speed {ft/min},Clearness,Rain,Snow
,1,85.28,10.70,DefaultMultipliers,Wetbulb,20.50,{C},15.,240,689.0,1.00,No,No
,2,19.76,0.00,DefaultMultipliers,Wetbulb,-7.70,{C},15.,220,728.4,0.00,No,No


Environment:Design Day Misc

,,DayOfYear,ASHRAE A Coeff,ASHRAE B Coeff,ASHRAE C Coeff,Solar Constant-Annual Variation,Eq of Time {minutes},Solar Declination Angle {deg},Solar Model
,1,208,1086.1,0.2080,0.1354,1.0,-6.42,19.4,ASHRAEClearSky
,2,15,1230.6,0.1413,5.6936E-002,1.0,-9.21,-21.,ASHRAEClearSky


Tabular Report

,,Style,Unit Conversion
,1,Commaandhtml,commaandhtml


Warmup Convergence Information

,,Zone Name,Environment Type/Name,Average Warmup Temperature Difference {deltaF},Std Dev Warmup Temperature Difference {deltaF},Max Temperature Pass/Fail Convergence,Min Temperature Pass/Fail Convergence,Average Warmup Load Difference {Btu/h},Std Dev Warmup Load Difference {Btu/h},Heating Load Pass/Fail Convergence,Cooling Load Pass/Fail Convergence
,1,LIVING_UNIT1,SizingPeriod: BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB,0.002270726,0.004619005,Pass,Pass,0.248997030,0.215607049,Pass,Pass
,2,GARAGE1,SizingPeriod: BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB,0.995793941,0.813921502,Pass,Pass,0.000000000,0.000000000,Pass,Pass
,3,ATTIC_UNIT1,SizingPeriod: BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB,0.627811281,0.438175055,Pass,Pass,0.000000000,0.000000000,Pass,Pass
,4,LIVING_UNIT1,SizingPeriod: BRUSSELS ANNUAL HEATING 99.6% CONDNS DB,0.000084130,0.000195264,Pass,Pass,0.018711212,0.031885429,Pass,Pass
,5,GARAGE1,SizingPeriod: BRUSSELS ANNUAL HEATING 99.6% CONDNS DB,0.002718146,0.006990288,Pass,Pass,0.000000000,0.000000000,Pass,Pass
,6,ATTIC_UNIT1,SizingPeriod: BRUSSELS ANNUAL HEATING 99.6% CONDNS DB,0.001580917,0.002395239,Pass,Pass,0.000000000,0.000000000,Pass,Pass
,7,LIVING_UNIT1,RunPeriod: ANNUAL,0.007628488,0.013368464,Pass,Pass,0.107054043,0.121099026,Pass,Pass
,8,GARAGE1,RunPeriod: ANNUAL,0.219665857,0.213387790,Pass,Pass,0.000000000,0.000000000,Pass,Pass
,9,ATTIC_UNIT1,RunPeriod: ANNUAL,0.241916715,0.189403328,Pass,Pass,0.000000000,0.000000000,Pass,Pass


----------------------------------------------------------------------------------------------------
REPORT:,Annual Heat Emissions Report
FOR:,Entire Facility
Annual Heat Emissions Summary

,,Envelope Convection,Zone Exfiltration,Zone Exhaust Air,HVAC Relief Air,HVAC Reject Heat,Total
,Heat Emissions [kBtu],1111.70,589.22,0.00,0.00,-237.2,1465.08


----------------------------------------------------------------------------------------------------
REPORT:,Annual Thermal Resilience Summary
FOR:,Entire Facility
Heat Index Hours

,,Safe (≤ 80.1°F) [hr],Caution (> 80.1°F, ≤ 90.0°F) [hr],Extreme Caution (> 90.0°F, ≤ 102.9°F) [hr],Danger (> 102.9, ≤ 125.1°F) [hr],Extreme Danger (> 125.1°F) [hr]
,LIVING_UNIT1,144.00,0.00,0.00,0.00,0.00
,GARAGE1,144.00,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,144.00,0.00,0.00,0.00,0.00
,Min,144.00,0.00,0.00,0.00,0.00
,Max,144.00,0.00,0.00,0.00,0.00
,Average,144.00,0.00,0.00,0.00,0.00
,Sum,432.00,0.00,0.00,0.00,0.00


Heat Index OccupantHours

